OBJECTID,Name,Operator,Owner,Address,Is 24 Hours,Car Park Count,Has Carpark Cost,Max Time Limit,Has Tourist Attraction,Latitude,Longitude,Current Type,Date First Operational,Number Of Connectors,Connectors List,Has Charging Cost,GlobalID,x,y
175641,Z Sawyers Arms,Z Energy,Z Energy,"530 Sawyers Arms Road, Bishopdale, Christchurch 8051",True,4,False,Unlimited,False,-43.4710228818025,172.570062171933,DC,8/1/2023 12:00:00 AM,4,"{DC, 150 kW, Type 2 CCS, Status: Inoperative, Count:2},{DC, 150 kW, CHAdeMO, Status: Inoperative, Count:2}",True,1a7ecdb1-e541-45f7-b846-531c400655bd,1565225.32913319,5186786.98912869
175642,Z Picton,Z Energy,Z Energy,"101 High Street, Picton 7220",True,2,False,Unlimited,False,-41.2921025816449,174.006499408477,DC,8/31/2023 12:00:00 AM,2,"{DC, 75 kW, Type 2 CCS, Status: Inoperative, Count:1},{DC, 75 kW, CHAdeMO, Status: Inoperative, Count:1}",True,ba91434e-242b-44e5-8da0-93dc84b0817d,1684273.90070137,5428327.4669142
175643,COASTLANDS AQUATIC CENTRE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"10 Brett Ambler Way, 5032 Paraparaumu",True,1,False,Unlimited,False,-40.9121788895829,175.002208934029,AC,7/6/2023 12:00:00 AM,6,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:6}",True,66381bdd-f888-4bdd-bb22-7497f3ccdf7f,1768617.09381771,5469061.96276268
175644,MERVYN KEMP LIBRARY CARPARK,MERIDIAN ENERGY LIMITED,WELLINGTON CITY COUNCIL,"160 Main Road, 5028 Tawa",True,1,False,120,False,-41.1709891248098,174.82543938995,DC,7/13/2023 12:00:00 AM,6,"{DC, 24 kW, Type 1 CCS, Status: Operative, Count:3},{DC, 24 kW, CHAdeMO, Status: Operative, Count:3}",False,1110c001-b3a2-4e7a-a0e3-9c483e3dcacc,1753128.31640318,5440655.11839463
175645,KAKAHA PARK,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"169 Birchs Road, 7674 Prebbleton",True,1,False,Unlimited,False,-43.5991543494304,172.512086520901,AC,7/7/2023 12:00:00 AM,8,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:8}",True,ee1f05f1-5e9f-4d50-bb79-92b21a3292ee,1560619.54774123,5172531.00286094
175646,NGAIO TOWN HALL,MERIDIAN ENERGY LIMITED,WELLINGTON CITY COUNCIL,"1A Ottawa Road, 6035 Ngaio",True,1,False,120,False,-41.2501615689848,174.773332336193,DC,8/30/2023 12:00:00 AM,4,"{DC, 24 kW, Type 1 CCS, Status: Operative, Count:2},{DC, 24 kW, CHAdeMO, Status: Operative, Count:2}",False,96ed67c1-9d71-448e-8e4d-8d988fe170f8,1748577.79624229,5431955.74241119
175647,OXFORD FARMERS MARKET,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"42 Main Street, 7430 Oxford",True,1,False,Unlimited,False,-43.2977606791747,172.193140115123,Mixed,11/11/2022 12:00:00 AM,4,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:2},{DC, 75 kW, Type 1 CCS, Status: Operative, Count:1},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,7d782d67-cf21-4d49-9b5a-4996301aefe7,1534552.50929203,5205802.4817319
175648,FLAT ROCK CAFE - KOHATU,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"5087 Motueka Valley Highway, 7096 Kohatu",True,1,False,Unlimited,False,-41.4514888332259,172.836825800663,DC,8/18/2022 12:00:00 AM,4,"{DC, 50 kW, Type 1 CCS, Status: Operative, Count:3},{DC, 50 kW, CHAdeMO, Status: Operative, Count:1}",True,7c432dcd-b761-4ee3-93b7-6d766d66cd08,1586370.86862935,5411108.5765356
175649,WOODEND COMMUNITY CENTRE,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"6 School Road, 7610 Woodend",True,1,False,Unlimited,False,-43.3239869022308,172.66434288763,Mixed,11/30/2022 12:00:00 AM,4,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:2},{DC, 75 kW, Type 1 CCS, Status: Operative, Count:1},{DC, 75 kW, CHAdeMO, Status: Operative, Count:1}",True,0aa7b463-209d-405c-a3fa-ec814217c4e6,1572785.31796083,5203151.29174652
175650,DIXON STREET CARPARK,MERIDIAN ENERGY LIMITED,MERIDIAN ENERGY LIMITED,"70 Dixon Street, 5810 Masterton",True,1,False,Unlimited,False,-40.9518726343942,175.660308493816,AC,7/17/2023 12:00:00 AM,6,"{AC, 22 kW, Type 2 Socketed, Status: Operative, Count:6}",True,d41029b6-9be0-47c8-bbb4-09b1e9c367c5,1823910.16549886,5463177.15858185
